"full_name","suburb","speed","st_asgeojson"
"Dairy Flat Hwy","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69659,-36.72596],[174.69648,-36.72588]]}"
"Awanohi Rd","Dairy Flat","100","{""type"":""LineString"",""coordinates"":[[174.69026,-36.68736],[174.69012,-36.68734]]}"
,"Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.72498,-36.75102],[174.72521,-36.75091]]}"
"East Coast Rd","Northcross","50","{""type"":""LineString"",""coordinates"":[[174.7264,-36.71336],[174.72628,-36.71334]]}"
,"Albany","50","{""type"":""LineString"",""coordinates"":[[174.71235,-36.73344],[174.71232,-36.73341]]}"
"Fields Pde","Oteha","50","{""type"":""LineString"",""coordinates"":[[174.72044,-36.71581],[174.72078,-36.71539]]}"
"Library Ln","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69655,-36.72617],[174.69653,-36.7261],[174.69653,-36.72604]]}"
"Oteha Valley Rd","Northcross","50","{""type"":""LineString"",""coordinates"":[[174.72754,-36.70932],[174.72763,-36.70928],[174.7277,-36.70925],[174.72779,-36.70922]]}"
"Glenmore Rd","Coatesville","80","{""type"":""LineString"",""coordinates"":[[174.65867,-36.73591],[174.65854,-36.73586],[174.65781,-36.7356],[174.65614,-36.73531],[174.65588,-36.73528],[174.65569,-36.73529],[174.65553,-36.73534],[174.65511,-36.73543],[174.65494,-36.73545],[174.65478,-36.73543],[174.65345,-36.73499],[174.65235,-36.73454],[174.65211,-36.73435],[174.65153,-36.73376],[174.65138,-36.73364]]}"
"Kittiwake Dr","Schnapper Rock","50","{""type"":""LineString"",""coordinates"":[[174.68352,-36.7601],[174.68373,-36.76004],[174.68393,-36.75996],[174.6844,-36.75969],[174.68459,-36.75959],[174.68476,-36.75952],[174.68501,-36.75944]]}"
"Dairy Flat Hwy","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69464,-36.72449],[174.69456,-36.72443]]}"
"Willis St","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.75045,-36.6943],[174.75119,-36.69409],[174.75132,-36.69406],[174.75143,-36.69405],[174.75157,-36.69407],[174.75191,-36.69415]]}"
"Dee Pl","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.72658,-36.69884],[174.72677,-36.6988],[174.7269,-36.69876],[174.72702,-36.6987],[174.7271,-36.69863]]}"
"Santiago Cres","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.72524,-36.75258],[174.72469,-36.75256],[174.72451,-36.75257]]}"
"Carnmore Pl","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.73322,-36.70179],[174.73288,-36.70173]]}"
"Redwing St","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.73259,-36.72121],[174.73252,-36.72113],[174.73242,-36.72104],[174.73234,-36.72098]]}"
"Castor Bay Rd","Castor Bay","50","{""type"":""LineString"",""coordinates"":[[174.7635,-36.75835],[174.76357,-36.75796],[174.76371,-36.75774],[174.76391,-36.75758],[174.76428,-36.75746],[174.76464,-36.75746],[174.76506,-36.75752]]}"
"Kanuka Way","Albany","50","{""type"":""LineString"",""coordinates"":[[174.70866,-36.73507],[174.70885,-36.73478],[174.7089,-36.73472]]}"
"Wright Rd","Dairy Flat","70","{""type"":""LineString"",""coordinates"":[[174.69775,-36.6921],[174.69779,-36.69198]]}"
"Watea Rd","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74852,-36.6933],[174.74832,-36.69285],[174.74829,-36.69274],[174.74831,-36.69267],[174.74836,-36.6926],[174.74842,-36.69253],[174.7485,-36.69242]]}"
"Stredwick Dr","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.7361,-36.6984],[174.73619,-36.69837],[174.73627,-36.69835]]}"
"Churchill Rd","Rothesay Bay","50","{""type"":""LineString"",""coordinates"":[[174.75322,-36.72569],[174.75284,-36.72499],[174.7528,-36.72487],[174.75279,-36.72476],[174.75279,-36.72464],[174.75281,-36.72424],[174.75279,-36.72415],[174.75275,-36.7241],[174.75266,-36.72406],[174.75255,-36.72405],[174.75148,-36.72407]]}"
"Obelin Clos","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69614,-36.73928],[174.69651,-36.7392],[174.69659,-36.73918],[174.69663,-36.73914],[174.69672,-36.73902]]}"
"Foley Quarry Rd","Dairy Flat","80","{""type"":""LineString"",""coordinates"":[[174.67038,-36.70558],[174.66999,-36.70548]]}"
